epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1829.85,1.07801,0.51456,1.17554,0.94968,0.91889,0.96402,0.68891,1.25908,0.42763,1.35436,2.32744e-05,2.32744e-05,2.32744e-05
40,1876.28,1.07097,0.51463,1.16667,0.95887,0.8999,0.96385,0.68962,1.26464,0.42681,1.36199,2.14132e-05,2.14132e-05,2.14132e-05
41,1923.37,1.06709,0.42567,1.22488,0.9386,0.91314,0.96168,0.68253,1.27367,0.43756,1.36629,1.9552e-05,1.9552e-05,1.9552e-05
42,1969.51,1.05176,0.41304,1.2243,0.93984,0.92344,0.96359,0.6868,1.26529,0.43177,1.3567,1.76908e-05,1.76908e-05,1.76908e-05
43,2015.56,1.04337,0.40768,1.21153,0.93425,0.92445,0.96337,0.6881,1.26129,0.42837,1.35651,1.58296e-05,1.58296e-05,1.58296e-05
44,2061.51,1.04147,0.40452,1.21585,0.94211,0.92027,0.9641,0.68867,1.26197,0.42725,1.35623,1.39684e-05,1.39684e-05,1.39684e-05
45,2107.51,1.03319,0.40175,1.20492,0.93133,0.92975,0.96382,0.68587,1.26431,0.42761,1.35957,1.21072e-05,1.21072e-05,1.21072e-05
46,2153.39,1.03007,0.40255,1.20183,0.95844,0.89972,0.96402,0.68793,1.26153,0.42611,1.35899,1.0246e-05,1.0246e-05,1.0246e-05
47,2199.45,1.0246,0.39818,1.20794,0.93229,0.92905,0.96579,0.68819,1.26265,0.42411,1.36037,8.3848e-06,8.3848e-06,8.3848e-06
48,2245.35,1.0254,0.39747,1.20223,0.95801,0.9051,0.96691,0.69173,1.26396,0.42393,1.35877,6.5236e-06,6.5236e-06,6.5236e-06
49,2291.49,1.01843,0.39468,1.20105,0.95989,0.90226,0.96538,0.69125,1.26292,0.42432,1.36005,4.6624e-06,4.6624e-06,4.6624e-06
50,2337.36,1.02029,0.39571,1.19915,0.96241,0.90379,0.96582,0.69139,1.26295,0.42428,1.35986,2.8012e-06,2.8012e-06,2.8012e-06
